#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=143928 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:68 out:68 type:P dur:2 cpbdur:2 q:0.00 aq:0.08 tex:329491 mv:11643 misc:4162 imb:17 pmb:1936 smb:6207 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:0.00 aq:0.06 tex:345098 mv:15504 misc:4414 imb:98 pmb:2118 smb:5944 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:0.00 aq:0.20 tex:320657 mv:11563 misc:4476 imb:66 pmb:1783 smb:6311 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:2323314 mv:79129 misc:693 imb:3319 pmb:4828 smb:13 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:0.00 aq:1.14 tex:251526 mv:8247 misc:4587 imb:12 pmb:1455 smb:6693 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:0.00 aq:0.14 tex:650717 mv:11139 misc:4752 imb:24 pmb:2083 smb:6053 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:0.00 aq:0.13 tex:444179 mv:13257 misc:4148 imb:32 pmb:1956 smb:6172 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:0.00 aq:0.28 tex:337432 mv:28280 misc:4976 imb:68 pmb:3280 smb:4812 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:0.00 aq:0.15 tex:359478 mv:19914 misc:4272 imb:40 pmb:2346 smb:5774 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:0.00 aq:0.43 tex:273478 mv:27020 misc:4782 imb:52 pmb:3133 smb:4975 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:0.00 aq:1.14 tex:309134 mv:22070 misc:4836 imb:110 pmb:2500 smb:5550 d:- ref:0 ;
